"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data",
"LSO","Lesotho","Lesotho","Kingdom of Lesotho","LS","Lesotho loti","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2012.","Sub-Saharan Africa","Lower middle income","LS","2012","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2016","Demographic and Health Survey, 2014","Expenditure survey/budget survey (ES/BS), 2010","","","1985","2017",
"LUX","Luxembourg","Luxembourg","Grand Duchy of Luxembourg","LU","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","LU","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","","Euro area","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","","Income survey (IS), 2014","Yes","2013","2013","2017",
"MAR","Morocco","Morocco","Kingdom of Morocco","MA","Moroccan dirham","","Middle East & North Africa","Lower middle income","MA","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2014","Morocco National Survey on Population and Family Health, 2011","Expenditure survey/budget survey (ES/BS), 2007","","2013","2013","2017",
"MDA","Moldova","Moldova","Republic of Moldova","MD","Moldovan leu","","Europe & Central Asia","Lower middle income","MD","2000","","Value added at basic prices (VAB)","Blend","","","1990–95","2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2014","Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2015","Yes","2012","2012","2017",
"MDG","Madagascar","Madagascar","Republic of Madagascar","MG","Malagasy ariary","","Sub-Saharan Africa","Low income","MG","1984","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","1993","Malaria Indicator Survey, 2016","Priority survey (PS), 2012","","2006","2006","2017",
"MDV","Maldives","Maldives","Republic of Maldives","MV","Maldivian rufiyaa","New Base year 2014","South Asia","Upper middle income","MV","2014","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2009","Integrated household survey (IHS), 2009/10","Yes","","","2017",
"MEX","Mexico","Mexico","United Mexican States","MX","Mexican peso","","Latin America & Caribbean","Upper middle income","MX","2013","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2015","Yes","2013","2013","2017",
"MLI","Mali","Mali","Republic of Mali","ML","West African CFA franc","The new base year is 1999.","Sub-Saharan Africa","Low income","ML","1999","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Estimate","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2009","Multiple Indicator Cluster Survey, 2015; Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2009/10","","","","2017",
"MNE","Montenegro","Montenegro","Montenegro","ME","Euro","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","Europe & Central Asia","Upper middle income","ME","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","Actual","Special trade system","","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014","Yes","","","2017",
"MNG","Mongolia","Mongolia","Mongolia","MN","Mongolian tugrik","","East Asia & Pacific","Lower middle income","MN","2010","","Value added at basic prices (VAB)","Blend","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2010","Multiple Indicator Cluster Survey, 2013/14","Living Standards Measurement Study Survey (LSMS), 2014","Yes","2011","2011","2017",
"MOZ","Mozambique","Mozambique","Republic of Mozambique","MZ","New Mozambican metical","","Sub-Saharan Africa","Low income","MZ","2009","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1992–95","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2007","AIDS Indicator Survey, 2015","Expenditure survey/budget survey (ES/BS), 2008/09","","","1973","2017",
"MRT","Mauritania","Mauritania","Islamic Republic of Mauritania","MR","Mauritanian ouguiya","Based on official statistics from the Ministry of Economic Affairs and Development and ONS – Office National des Statistique; the base year has been returned to 2004.","Sub-Saharan Africa","Lower middle income","MR","2004","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2013","Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2014","","","","2017",
"MUS","Mauritius","Mauritius","Republic of Mauritius","MU","Mauritian rupee","Authorities made significant revisions to the national accounts from 2006 to 2015.","Sub-Saharan Africa","Upper middle income","MU","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey, 2003","Integrated household survey (IHS), 2012","Yes","2012","2012","2017",
"MWI","Malawi","Malawi","Republic of Malawi","MW","Malawi kwacha","Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010.","Sub-Saharan Africa","Low income","MW","2010","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2008","Malaria Indicator Survey, 2017","Integrated household survey (IHS), 2010/11","","2012","2012","2017",
"NAM","Namibia","Namibia","Republic of Namibia","NA","Namibian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Upper middle income","NA","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2009/10","","2013","2013","2017",
"NER","Niger","Niger","Republic of Niger","NE","West African CFA franc","Value added is measured in basic prices.","Sub-Saharan Africa","Low income","NE","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1993","2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2014","","2002","2002","2017",
"NGA","Nigeria","Nigeria","Federal Republic of Nigeria","NG","Nigerian naira","","Sub-Saharan Africa","Lower middle income","NG","2010","","Value added at basic prices (VAB)","Blend","","Country uses the 2008 System of National Accounts methodology","1971–98","2011","BPM6","Estimate","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2006","Multiple Indicator Cluster Survey, 2016/17","Integrated household survey (IHS), 2009/10","","","1996","2017",
"NIC","Nicaragua","Nicaragua","Republic of Nicaragua","NI","Nicaraguan gold cordoba","Country has 1994 as the base year and 2006 as the reference year. The country uses chain linked methodology.","Latin America & Caribbean","Lower middle income","NI","1994","2006","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1965–95","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2005","Reproductive Health Survey, 2006/2007","Living Standards Measurement Study Survey (LSMS), 2016","","","1985","2017",
"NPL","Nepal","Nepal","Nepal","NP","Nepalese rupee","Fiscal year end: July 14; reporting period for national accounts data: FY.","South Asia","Low income","NP","2000/01","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2010/11","","2011","2011","2017",
"PAK","Pakistan","Pakistan","Islamic Republic of Pakistan","PK","Pakistani rupee","Fiscal year end: June 30; reporting period for national accounts data: FY.","South Asia","Lower middle income","PK","2005/06","","Value added at basic prices (VAB)","Blend","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2017","Demographic and Health Survey, 2017/18","Integrated household survey (IHS), 2013/14","","2006","2006","2017",
"PAN","Panama","Panama","Republic of Panama","PA","Panamanian balboa","Based on government statistics national accounts have been revised from 2014. The country uses chain linked methodology.","Latin America & Caribbean","High income","PA","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","","Special trade system","","Enhanced General Data Dissemination System (e-GDDS)","2010","Multiple Indicator Cluster Survey, 2013","Integrated household survey (IHS), 2016","","2001","2001","2017",
"PER","Peru","Peru","Republic of Peru","PE","Peruvian new sol","","Latin America & Caribbean","Upper middle income","PE","2007","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","1985–90","2011","BPM5 (Converted into BPM6 by IMF)","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Continuous Demographic and Health Survey, 2014","Integrated household survey (IHS), 2016","","2011","2011","2017",
"PHL","Philippines","Philippines","Republic of the Philippines","PH","Philippine peso","","East Asia & Pacific","Lower middle income","PH","2000","","Value added at producer prices (VAP)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2015","Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015","Yes","2012","2012","2017",
"PLW","Palau","Palau","Republic of Palau","PW","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.","East Asia & Pacific","High income","PW","2015","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011 (household consumption only).","BPM6","","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2015","","Expenditure survey/budget survey (ES/BS), 2006","Yes","","","2017",
"PNG","Papua New Guinea","Papua New Guinea","The Independent State of Papua New Guinea","PG","Papua New Guinea kina","Based on revised data from the National Statistical Office - New base year 2013","East Asia & Pacific","Lower middle income","PG","2013","","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology","1989","2011 (household consumption only).","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2009/10","","","1987","2017",
"POL","Poland","Poland","Republic of Poland","PL","Polish zloty","","Europe & Central Asia","High income","PL","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","","Expenditure survey/budget survey (ES/BS), 2014","Yes","2013","2013","2017",
"PRI","Puerto Rico","Puerto Rico","Puerto Rico","PR","U.S. dollar","Fiscal year end: June 30; reporting period for national accounts data: FY.","Latin America & Caribbean","High income","PR","1954","","Value added at producer prices (VAP)","","","Country uses the 1968 System of National Accounts methodology","","","","","General trade system","","","2010","Reproductive Health Survey, 1995/96","","Yes","2006","2006","",
"PRY","Paraguay","Paraguay","Republic of Paraguay","PY","Paraguayan guarani","","Latin America & Caribbean","Upper middle income","PY","1994","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015","","2010","2010","2017",
"PSE","West Bank and Gaza","West Bank and Gaza","West Bank and Gaza","PS","Israeli new shekel","WB-3 code changed from WBG to PSE to align with ISO code. National accounts local currency data are reported in U.S. dollars.","Middle East & North Africa","Lower middle income","GZ","2015","","Value added at basic prices (VAB)","","","","","2011","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2011","","2013","2013","",
"ROU","Romania","Romania","Romania","RO","New Romanian leu","WB-3 code changed from ROM to ROU to align with ISO code.","Europe & Central Asia","Upper middle income","RO","Original chained constant price data are rescaled.","2005","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","1987–89, 1992","Rolling","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Romania Reproductive Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2013","Yes","2013","2013","2017",
"RUS","Russia","Russian Federation","Russian Federation","RU","Russian ruble","","Europe & Central Asia","Upper middle income","RU","2016","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","1987–95","2011","BPM6","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Russian Federation Reproductive Health Survey, 2011","Expenditure survey/budget survey (ES/BS), 2016","Yes","2014","2014","2017",
"RWA","Rwanda","Rwanda","Republic of Rwanda","RW","Rwandan franc","The New Base Year is 2014.","Sub-Saharan Africa","Low income","RW","2014","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1994","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Malaria Indicator Survey, 2017","Integrated household survey (IHS), 2013/14","","","1999","2017",
"SEN","Senegal","Senegal","Republic of Senegal","SN","West African CFA franc","","Sub-Saharan Africa","Low income","SN","1999","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2013","Continuous Demographic and Health Survey, 2016","Priority survey (PS), 2011/12","","2012","2012","2017",
"SLB","Solomon Islands","Solomon Islands","Solomon Islands","SB","Solomon Islands dollar","","East Asia & Pacific","Lower middle income","SB","2004","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011 (household consumption only).","BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2009","Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13","","","","2017",
"SLE","Sierra Leone","Sierra Leone","Republic of Sierra Leone","SL","Sierra Leonean leone","Fiscal year end: June 30; reporting period for national accounts data: CY.","Sub-Saharan Africa","Low income","SL","2006","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2015","Multiple Indicator Cluster Survey, 2017","Integrated household survey (IHS), 2011","","","1993","2017",
"SLV","El Salvador","El Salvador","Republic of El Salvador","SV","U.S. dollar","","Latin America & Caribbean","Lower middle income","SV","2005","2014","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2007","Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2016","Yes","","1998","2017",
"SRB","Serbia","Serbia","Republic of Serbia","RS","New Serbian dinar","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.","Europe & Central Asia","Upper middle income","YF","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2016","Yes","2014","2014","2017",
"STP","São Tomé and Principe","São Tomé and Principe","Democratic Republic of São Tomé and Principe","ST","São Tomé and Principe dobra","The new base year is 2008.","Sub-Saharan Africa","Lower middle income","ST","2008","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2014","Priority survey (PS), 2010","","","","2017",
"SVN","Slovenia","Slovenia","Republic of Slovenia","SI","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","SI","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","","Euro area","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2015. Population data compiled from administrative registers.","World Health Survey, 2003","Expenditure survey/budget survey (ES/BS), 2014","Yes","2013","2013","2017",
"SWZ","Eswatini","Eswatini","Kingdom of Eswatini","SZ","Swazi lilangeni","Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.","Sub-Saharan Africa","Lower middle income","SZ","2011","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2007","Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10","","2011","2011","2017",
"SYC","Seychelles","Seychelles","Republic of Seychelles","SC","Seychelles rupee","","Sub-Saharan Africa","High income","SC","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","","Expenditure survey/budget survey (ES/BS), 2013","Yes","","","2017",
"TCD","Chad","Chad","Republic of Chad","TD","Central African CFA franc","","Sub-Saharan Africa","Low income","TD","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Estimate","Special trade system","","Enhanced General Data Dissemination System (e-GDDS)","2009","Demographic and Health Survey, 2014/15","Priority survey (PS), 2011","","","","2017",
"TGO","Togo","Togo","Republic of Togo","TG","West African CFA franc","","Sub-Saharan Africa","Low income","TG","2000","","Value added at producer prices (VAP)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2010","Multiple Indicator Cluster Survey, 2017; Malaria Indicator Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015","","","","2017",
"THA","Thailand","Thailand","Kingdom of Thailand","TH","Thai baht","Fiscal year end: September 30; reporting period for national accounts data: CY.","East Asia & Pacific","Upper middle income","TH","2002","","Value added at producer prices (VAP)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Multiple Indicator Cluster Survey, 2015/16","Integrated household survey (IHS), 2014","","2011","2011","2017",
"TJK","Tajikistan","Tajikistan","Republic of Tajikistan","TJ","Tajik somoni","","Europe & Central Asia","Low income","TJ","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","1990–95","2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2010","Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015","","","","2017",
"TLS","Timor-Leste","Timor-Leste","Democratic Republic of Timor-Leste","TL","U.S. dollar","WB-3 code changed from TMP to TLS to align with ISO code.","East Asia & Pacific","Lower middle income","TP","2015","","Value added at basic prices (VAB)","Blend","","Country uses the 2008 System of National Accounts methodology","","","","","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2015","Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15","","","","2017",
"TUN","Tunisia","Tunisia","Republic of Tunisia","TN","Tunisian dinar","","Middle East & North Africa","Lower middle income","TN","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2014","Multiple Indicator Cluster Survey, 2011/12","Integrated household survey (IHS), 2015","","2010","2010","2017",
"TUR","Turkey","Turkey","Republic of Turkey","TR","New Turkish lira","The new base year is 2009","Europe & Central Asia","Upper middle income","TR","2009","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2014","Yes","2014","2014","2017",
"TZA","Tanzania","Tanzania","United Republic of Tanzania","TZ","Tanzanian shilling","Tanzania reports using a blend of SNA 1993 and SNA 2008.","Sub-Saharan Africa","Low income","TZ","2007","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Estimate","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2015/16","Expenditure survey/budget survey (ES/BS), 2011/12","","2010","2010","2017",
"UGA","Uganda","Uganda","Republic of Uganda","UG","Ugandan shilling","Fiscal year end: June 30; reporting period for national accounts data: FY.","Sub-Saharan Africa","Low income","UG","2009/10","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2016","Integrated household survey (IHS), 2012/13","","2000","2000","2017",
"UKR","Ukraine","Ukraine","Ukraine","UA","Ukrainian hryvnia","","Europe & Central Asia","Lower middle income","UA","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","1987–95","2011","BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2001","Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2016","Yes","2014","2014","2017",
"URY","Uruguay","Uruguay","Oriental Republic of Uruguay","UY","Uruguayan peso","","Latin America & Caribbean","High income","UY","2005","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2016","Yes","2011","2011","2017",
"USA","United States","United States","United States of America","US","U.S. dollar","","North America","High income","US","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS+)","2010","","Labor force survey (LFS), 2013","Yes","2011","2011","2016",
"UZB","Uzbekistan","Uzbekistan","Republic of Uzbekistan","UZ","Uzbek sum","","Europe & Central Asia","Lower middle income","UZ","Original chained constant price data are rescaled.","1997","Value added at basic prices (VAB)","Blend","","Country uses the 1993 System of National Accounts methodology","1990–95","","","Actual","General trade system","Consolidated central government","","1989","Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013","Yes","","","2017",
"VEN","Venezuela","Venezuela, RB","República Bolivariana de Venezuela","VE","Venezuelan bolivar fuerte","","Latin America & Caribbean","Upper middle income","VE","1997","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Estimate","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015","","","1998","2016",
"VNM","Vietnam","Vietnam","Socialist Republic of Vietnam","VN","Vietnamese dong","","East Asia & Pacific","Lower middle income","VN","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","1991","2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2009","Multiple Indicator Cluster Survey, 2013/14","Integrated household survey (IHS), 2014","Yes","2013","2013","2017",
"XKX","Kosovo","Kosovo","Republic of Kosovo","XK","Euro","WB-3 code changed from KSV to XKX to align with ISO provisional code.","Europe & Central Asia","Lower middle income","XK","2008","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","","BPM6","Actual","","","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2013/14","Expenditure survey/budget survey (ES/BS), 2015","","","","",
"ZAF","South Africa","South Africa","Republic of South Africa","ZA","South African rand","Fiscal year end: March 31; reporting period for national accounts data: CY.","Sub-Saharan Africa","Upper middle income","ZA","2010","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Preliminary","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014/15","","2010","2010","2017",
"ZMB","Zambia","Zambia","Republic of Zambia","ZM","New Zambian kwacha","The base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.","Sub-Saharan Africa","Lower middle income","ZM","2010","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology","1990–92","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2010","Demographic and Health Survey, 2013/14","Integrated household survey (IHS), 2015","","","1994","2017",
